article_title,country,population,region,revision_id,article_quality
Majah Ha Adrif,Afghanistan,42.4,SOUTH ASIA,10483286,Start
Haroon al-Afghani,Afghanistan,42.4,SOUTH ASIA,11966231,B
Tayyab Agha,Afghanistan,42.4,SOUTH ASIA,46841383,Stub
Khadija Zahra Ahmadi,Afghanistan,42.4,SOUTH ASIA,71600382,Stub
Aziza Ahmadyar,Afghanistan,42.4,SOUTH ASIA,47805901,B
Muqadasa Ahmadzai,Afghanistan,42.4,SOUTH ASIA,70019038,B
Mohammad Sarwar Ahmedzai,Afghanistan,42.4,SOUTH ASIA,27664854,Stub
Amir Muhammad Akhundzada,Afghanistan,42.4,SOUTH ASIA,12084570,Stub
Nasrullah Baryalai Arsalai,Afghanistan,42.4,SOUTH ASIA,22588409,Start
Abdul Rahim Ayoubi,Afghanistan,42.4,SOUTH ASIA,44482763,B
Ismael Balkhi,Afghanistan,42.4,SOUTH ASIA,25153929,Stub
Abdul Baqi Turkistani,Afghanistan,42.4,SOUTH ASIA,27428272,B
Mohammad Ghous Bashiri,Afghanistan,42.4,SOUTH ASIA,40960242,B
Jan Baz,Afghanistan,42.4,SOUTH ASIA,10305348,Stub
Bashir Ahmad Bezan,Afghanistan,42.4,SOUTH ASIA,27663861,FA
Rafiullah Bidar,Afghanistan,42.4,SOUTH ASIA,16351100,Stub
Mohammad Siddiq Chakari,Afghanistan,42.4,SOUTH ASIA,14454477,Start
Cheragh Ali Cheragh,Afghanistan,42.4,SOUTH ASIA,24963809,Stub
Nasir Ahmad Durrani,Afghanistan,42.4,SOUTH ASIA,59378987,B
Muhammad Hashim Esmatullahi,Afghanistan,42.4,SOUTH ASIA,26835722,B
Ezatullah (Nangarhar),Afghanistan,42.4,SOUTH ASIA,15842120,Start
Aimal Faizi,Afghanistan,42.4,SOUTH ASIA,52438668,C
Gajinder Singh Safri,Afghanistan,42.4,SOUTH ASIA,72903967,B
Sharif Ghalib,Afghanistan,42.4,SOUTH ASIA,8054084,Start
Hashmat Ghani Ahmadzai,Afghanistan,42.4,SOUTH ASIA,13368923,B
Abdul Ghani Ghani,Afghanistan,42.4,SOUTH ASIA,29443640,Stub
Ghulam Ghaus,Afghanistan,42.4,SOUTH ASIA,68918472,B
Ghulam Muhammad Ghobar,Afghanistan,42.4,SOUTH ASIA,25630787,B
Mohammad Gul (Helmand Council),Afghanistan,42.4,SOUTH ASIA,26027316,B
Sayed Yousuf Halim,Afghanistan,42.4,SOUTH ASIA,72051141,Stub
Rangina Hamidi,Afghanistan,42.4,SOUTH ASIA,68487239,Start
Sayed Zafar Hashemi,Afghanistan,42.4,SOUTH ASIA,52438868,B
Qutbuddin Hilal,Afghanistan,42.4,SOUTH ASIA,41835910,Start
Mahboba Hoqomal,Afghanistan,42.4,SOUTH ASIA,35512380,B
Musa Hotak,Afghanistan,42.4,SOUTH ASIA,8575012,B
Mirza Muhammad Ismail,Afghanistan,42.4,SOUTH ASIA,39258771,B
Sayed Jalal,Afghanistan,42.4,SOUTH ASIA,21500352,Start
Said Tayeb Jawad,Afghanistan,42.4,SOUTH ASIA,6392185,B
Sayed Jalal Karim,Afghanistan,42.4,SOUTH ASIA,27668571,Stub
Hafizullah Shabaz Khail,Afghanistan,42.4,SOUTH ASIA,5294659,Start
Masoud Khalili,Afghanistan,42.4,SOUTH ASIA,3056711,Start
Mohammad Khan (athlete),Afghanistan,42.4,SOUTH ASIA,45419022,FA
Samoud Khan,Afghanistan,42.4,SOUTH ASIA,7493859,Start
Baran Khan Kudezai,Afghanistan,42.4,SOUTH ASIA,23672202,FA
Azizullah Lodin,Afghanistan,42.4,SOUTH ASIA,24850187,Start
Razaq Mamoon,Afghanistan,42.4,SOUTH ASIA,17013397,B
Fazel Ahmed Manawi,Afghanistan,42.4,SOUTH ASIA,273143,Start
